Generation counter, Current Fitness, Best Fitnes
0,-137,-137
1,-137,-137
2,-137,-137
3,-137,-137
4,-137,-137
5,-138,-138
6,-138,-138
7,-138,-138
8,-138,-138
9,-137,-138
10,-137,-138
11,-137,-138
12,-137,-138
13,-137,-138
14,-136,-138
15,-137,-138
16,-137,-138
17,-136,-138
18,-136,-138
19,-135,-138
20,-136,-138
21,-136,-138
22,-136,-138
23,-136,-138
24,-136,-138
25,-135,-138
26,-135,-138
27,-136,-138
28,-136,-138
29,-135,-138
30,-136,-138
31,-135,-138
32,-135,-138
33,-135,-138
34,-136,-138
35,-135,-138
36,-135,-138
37,-135,-138
38,-133,-138
39,-134,-138
40,-133,-138
41,-133,-138
42,-134,-138
43,-133,-138
44,-133,-138
45,-131,-138
46,-132,-138
47,-132,-138
48,-133,-138
49,-132,-138
50,-133,-138
51,-134,-138
52,-131,-138
53,-131,-138
54,-132,-138
55,-135,-138
56,-134,-138
57,-133,-138
58,-132,-138
59,-133,-138
60,-131,-138
61,-130,-138
62,-130,-138
63,-132,-138
64,-132,-138
65,-131,-138
66,-134,-138
67,-135,-138
68,-132,-138
69,-131,-138
70,-132,-138
71,-133,-138
72,-132,-138
73,-132,-138
74,-131,-138
75,-131,-138
76,-131,-138
77,-131,-138
78,-132,-138
79,-132,-138
80,-133,-138
81,-134,-138
82,-135,-138
83,-134,-138
84,-133,-138
85,-134,-138
86,-131,-138
87,-133,-138
88,-134,-138
89,-135,-138
90,-133,-138
91,-134,-138
92,-134,-138
93,-133,-138
94,-132,-138
95,-129,-138
96,-131,-138
97,-131,-138
98,-132,-138
99,-131,-138
100,-129,-138
101,-132,-138
102,-133,-138
103,-132,-138
104,-130,-138
105,-133,-138
